id,time_d_matrix,time_clust,time_total,N3_easycategs_ml_1,N3_easycategs_ml_100,N3_random_ml_1,N3_random_ml_100,N3_1,N3_100,N2,CI,CI_categs_constr,cluster,categs_constr_count,elem_qtt
hierarq_ward_categs_constr_False-log_attrib_exp-not_filtered,59.10545492,39.14957905,204.26599,0.01248662148,0.05262397431,0.7698015211,0.7800519384,0.00032114327,0.008274657782,0.02155325319,0.8171056762,0.4815069066,0,38,3364
hierarq_ward_categs_constr_False-log_attrib_exp-not_filtered,59.10545492,39.14957905,204.26599,0.01248662148,0.05262397431,0.7698015211,0.7800519384,0.00032114327,0.008274657782,0.02155325319,0.8171056762,0.4815069066,1,3252,3252
hierarq_ward_categs_constr_False-log_attrib_exp-not_filtered,59.10545492,39.14957905,204.26599,0.01248662148,0.05262397431,0.7698015211,0.7800519384,0.00032114327,0.008274657782,0.02155325319,0.8171056762,0.4815069066,2,54,2565
hierarq_ward_categs_constr_False-log_attrib_exp-not_filtered,59.10545492,39.14957905,204.26599,0.01248662148,0.05262397431,0.7698015211,0.7800519384,0.00032114327,0.008274657782,0.02155325319,0.8171056762,0.4815069066,3,13,2186
hierarq_ward_categs_constr_False-log_attrib_exp-not_filtered,59.10545492,39.14957905,204.26599,0.01248662148,0.05262397431,0.7698015211,0.7800519384,0.00032114327,0.008274657782,0.02155325319,0.8171056762,0.4815069066,4,2249,13544
hierarq_ward_categs_constr_False-act_tfidf_attrib_vec_bin-det_act-not_filtered,60.32536316,21.53919291,180.2371531,0.001427042455,0.02848198359,0.7857540345,0.7803209052,0.0007224273559,0.02077941885,0.03089160714,0.814297791,0.4694288139,0,0,3310
hierarq_ward_categs_constr_False-act_tfidf_attrib_vec_bin-det_act-not_filtered,60.32536316,21.53919291,180.2371531,0.001427042455,0.02848198359,0.7857540345,0.7803209052,0.0007224273559,0.02077941885,0.03089160714,0.814297791,0.4694288139,1,3193,3193
hierarq_ward_categs_constr_False-act_tfidf_attrib_vec_bin-det_act-not_filtered,60.32536316,21.53919291,180.2371531,0.001427042455,0.02848198359,0.7857540345,0.7803209052,0.0007224273559,0.02077941885,0.03089160714,0.814297791,0.4694288139,2,75,2595
hierarq_ward_categs_constr_False-act_tfidf_attrib_vec_bin-det_act-not_filtered,60.32536316,21.53919291,180.2371531,0.001427042455,0.02848198359,0.7857540345,0.7803209052,0.0007224273559,0.02077941885,0.03089160714,0.814297791,0.4694288139,3,11,2187
hierarq_ward_categs_constr_False-act_tfidf_attrib_vec_bin-det_act-not_filtered,60.32536316,21.53919291,180.2371531,0.001427042455,0.02848198359,0.7857540345,0.7803209052,0.0007224273559,0.02077941885,0.03089160714,0.814297791,0.4694288139,4,2327,13631
hierarq_ward_categs_constr_False-seqattrib_1s_1a-det_act-not_filtered,351.969111,60.64516091,590.5264819,0.001783803068,0.03076881912,0.7946577629,0.7821053608,0.0008428319152,0.02066944935,0.01086935983,0.8124042884,0.44323747,0,3215,3217
hierarq_ward_categs_constr_False-seqattrib_1s_1a-det_act-not_filtered,351.969111,60.64516091,590.5264819,0.001783803068,0.03076881912,0.7946577629,0.7821053608,0.0008428319152,0.02066944935,0.01086935983,0.8124042884,0.44323747,1,0,3293
hierarq_ward_categs_constr_False-seqattrib_1s_1a-det_act-not_filtered,351.969111,60.64516091,590.5264819,0.001783803068,0.03076881912,0.7946577629,0.7821053608,0.0008428319152,0.02066944935,0.01086935983,0.8124042884,0.44323747,2,33,2595
hierarq_ward_categs_constr_False-seqattrib_1s_1a-det_act-not_filtered,351.969111,60.64516091,590.5264819,0.001783803068,0.03076881912,0.7946577629,0.7821053608,0.0008428319152,0.02066944935,0.01086935983,0.8124042884,0.44323747,3,0,2140
hierarq_ward_categs_constr_False-seqattrib_1s_1a-det_act-not_filtered,351.969111,60.64516091,590.5264819,0.001783803068,0.03076881912,0.7946577629,0.7821053608,0.0008428319152,0.02066944935,0.01086935983,0.8124042884,0.44323747,4,2358,13671
hierarq_ward_categs_constr_False-seqattrib_100s_1a-det_act-not_filtered,398.8369482,64.927423,636.1251862,0.031394934,0.1163913664,0.7698015211,0.7832758301,0.00593995826,0.05134893241,0.1039075195,0.8564729073,0.8685252351,0,1437,6562
hierarq_ward_categs_constr_False-seqattrib_100s_1a-det_act-not_filtered,398.8369482,64.927423,636.1251862,0.031394934,0.1163913664,0.7698015211,0.7832758301,0.00593995826,0.05134893241,0.1039075195,0.8564729073,0.8685252351,1,2243,9698
hierarq_ward_categs_constr_False-seqattrib_100s_1a-det_act-not_filtered,398.8369482,64.927423,636.1251862,0.031394934,0.1163913664,0.7698015211,0.7832758301,0.00593995826,0.05134893241,0.1039075195,0.8564729073,0.8685252351,2,218,746
hierarq_ward_categs_constr_False-seqattrib_100s_1a-det_act-not_filtered,398.8369482,64.927423,636.1251862,0.031394934,0.1163913664,0.7698015211,0.7832758301,0.00593995826,0.05134893241,0.1039075195,0.8564729073,0.8685252351,3,570,2275
hierarq_ward_categs_constr_False-seqattrib_100s_1a-det_act-not_filtered,398.8369482,64.927423,636.1251862,0.031394934,0.1163913664,0.7698015211,0.7832758301,0.00593995826,0.05134893241,0.1039075195,0.8564729073,0.8685252351,4,1138,5635
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,50.674613,31.91841507,191.2934012,0.006064930432,0.08306278987,0.776293823,0.7843739566,0.01091668004,0.1443959705,0.3048919964,0.7946010205,0.7151234981,0,1936,1989
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,50.674613,31.91841507,191.2934012,0.006064930432,0.08306278987,0.776293823,0.7843739566,0.01091668004,0.1443959705,0.3048919964,0.7946010205,0.7151234981,1,1707,6724
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,50.674613,31.91841507,191.2934012,0.006064930432,0.08306278987,0.776293823,0.7843739566,0.01091668004,0.1443959705,0.3048919964,0.7946010205,0.7151234981,2,57,2182
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,50.674613,31.91841507,191.2934012,0.006064930432,0.08306278987,0.776293823,0.7843739566,0.01091668004,0.1443959705,0.3048919964,0.7946010205,0.7151234981,3,7,1446
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-categconstr_expnode2categs_edge_qtt_traces,50.674613,31.91841507,191.2934012,0.006064930432,0.08306278987,0.776293823,0.7843739566,0.01091668004,0.1443959705,0.3048919964,0.7946010205,0.7151234981,4,1899,12575
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_attrib_variant_edge1,29.34132385,24.86418414,164.978503,0.02515162326,0.1060988227,0.7909478761,0.7848655166,0.01902392037,0.1660543426,0.3568663395,0.8498316275,0.6218503719,0,465,4989
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_attrib_variant_edge1,29.34132385,24.86418414,164.978503,0.02515162326,0.1060988227,0.7909478761,0.7848655166,0.01902392037,0.1660543426,0.3568663395,0.8498316275,0.6218503719,1,1831,10945
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_attrib_variant_edge1,29.34132385,24.86418414,164.978503,0.02515162326,0.1060988227,0.7909478761,0.7848655166,0.01902392037,0.1660543426,0.3568663395,0.8498316275,0.6218503719,2,146,1038
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_attrib_variant_edge1,29.34132385,24.86418414,164.978503,0.02515162326,0.1060988227,0.7909478761,0.7848655166,0.01902392037,0.1660543426,0.3568663395,0.8498316275,0.6218503719,3,9,2184
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_attrib_variant_edge1,29.34132385,24.86418414,164.978503,0.02515162326,0.1060988227,0.7909478761,0.7848655166,0.01902392037,0.1660543426,0.3568663395,0.8498316275,0.6218503719,4,3155,5760
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,27.42362523,32.89408469,170.599618,0.01641098823,0.04097395648,0.803375997,0.7859654981,0.01159897255,0.06028254937,0.3645430224,0.8316409617,0.6253350204,0,3125,3155
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,27.42362523,32.89408469,170.599618,0.01641098823,0.04097395648,0.803375997,0.7859654981,0.01159897255,0.06028254937,0.3645430224,0.8316409617,0.6253350204,1,25,3436
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,27.42362523,32.89408469,170.599618,0.01641098823,0.04097395648,0.803375997,0.7859654981,0.01159897255,0.06028254937,0.3645430224,0.8316409617,0.6253350204,2,826,13211
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,27.42362523,32.89408469,170.599618,0.01641098823,0.04097395648,0.803375997,0.7859654981,0.01159897255,0.06028254937,0.3645430224,0.8316409617,0.6253350204,3,15,2475
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,27.42362523,32.89408469,170.599618,0.01641098823,0.04097395648,0.803375997,0.7859654981,0.01159897255,0.06028254937,0.3645430224,0.8316409617,0.6253350204,4,1615,2639
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_act_attrib,29.12266922,35.3012259,174.3025591,0.00445950767,0.02846236176,0.7798182155,0.7814728251,0.0005217530904,0.01522475518,0.3637025601,0.767957792,0.6083741292,0,0,3250
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_act_attrib,29.12266922,35.3012259,174.3025591,0.00445950767,0.02846236176,0.7798182155,0.7814728251,0.0005217530904,0.01522475518,0.3637025601,0.767957792,0.6083741292,1,3153,3163
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_act_attrib,29.12266922,35.3012259,174.3025591,0.00445950767,0.02846236176,0.7798182155,0.7814728251,0.0005217530904,0.01522475518,0.3637025601,0.767957792,0.6083741292,2,0,2432
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_act_attrib,29.12266922,35.3012259,174.3025591,0.00445950767,0.02846236176,0.7798182155,0.7814728251,0.0005217530904,0.01522475518,0.3637025601,0.767957792,0.6083741292,3,1481,1481
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_act_attrib,29.12266922,35.3012259,174.3025591,0.00445950767,0.02846236176,0.7798182155,0.7814728251,0.0005217530904,0.01522475518,0.3637025601,0.767957792,0.6083741292,4,972,14590
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,28.38969183,32.57450294,168.214637,0.005529789511,0.02932215483,0.7779632721,0.781869783,0.004254294429,0.02827379997,0.3000820851,0.9059061334,0.5969525577,0,13,2631
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,28.38969183,32.57450294,168.214637,0.005529789511,0.02932215483,0.7779632721,0.781869783,0.004254294429,0.02827379997,0.3000820851,0.9059061334,0.5969525577,1,7,2352
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,28.38969183,32.57450294,168.214637,0.005529789511,0.02932215483,0.7779632721,0.781869783,0.004254294429,0.02827379997,0.3000820851,0.9059061334,0.5969525577,2,745,8919
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,28.38969183,32.57450294,168.214637,0.005529789511,0.02932215483,0.7779632721,0.781869783,0.004254294429,0.02827379997,0.3000820851,0.9059061334,0.5969525577,3,3276,3280
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_categ_variant_edge1-3nn_variants_edge_qtt_traces_1overdist,28.38969183,32.57450294,168.214637,0.005529789511,0.02932215483,0.7779632721,0.781869783,0.004254294429,0.02827379997,0.3000820851,0.9059061334,0.5969525577,4,1565,7734
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.61290383,32.78145218,169.7729719,0.01997859436,0.04536032822,0.7696160267,0.7835262474,0.01147856799,0.06138264569,0.365098781,0.8255877686,0.6204906777,0,8,3287
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.61290383,32.78145218,169.7729719,0.01997859436,0.04536032822,0.7696160267,0.7835262474,0.01147856799,0.06138264569,0.365098781,0.8255877686,0.6204906777,1,1598,2597
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.61290383,32.78145218,169.7729719,0.01997859436,0.04536032822,0.7696160267,0.7835262474,0.01147856799,0.06138264569,0.365098781,0.8255877686,0.6204906777,2,3118,3154
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist-categconstr_expnode2categs_edge_qtt_traces,29.61290383,32.78145218,169.7729719,0.01997859436,0.04536032822,0.7696160267,0.7835262474,0.01147856799,0.06138264569,0.365098781,0.8255877686,0.6204906777,3,16,2494
