number,trace
INC0000045,06__07__10__05
INC0000047,06__00__10__10__10__03__00__07__05
INC0000057,06__10__10__10__10__07__05
INC0000060,06__00__07__05
INC0000062,06__09__10__10__10__10__07__05
INC0000063,06__10__10__10__10__10__07__05
INC0000064,06__10__00__10__10__10__07__00__05
INC0000065,06__10__10__10__08__10__10__10__10__10__03__07__05
INC0000066,06__10__07__05
INC0000067,06__10__10__00__10__10__10__10__10__07__05
INC0000070,06__00__10__03__10__10__07__05
INC0000071,06__10__10__03__06__03__07__05
INC0000073,00__10__10__10__07__05
INC0000074,00__03__10__10__07__05
INC0000076,06__07__05
INC0000077,06__10__10__10__07__05
INC0000079,06__08__00__07__05
INC0000080,06__10__10__10__10__00__07__05
INC0000083,06__10__10__07__05
INC0000084,00__03__10__10__07__05
INC0000085,06__10__07__05
INC0000086,06__10__10__10__10__10__10__07__05
INC0000087,06__10__07__05
INC0000088,06__07__05
INC0000089,00__10__08__08__08__02__10__10__07__05
INC0000092,00__10__10__07__05
INC0000093,07__05
INC0000094,00__03__10__07__05
INC0000098,06__08__10__10__07__05
INC0000099,06__10__07__05
INC0000100,00__10__07__05
INC0000101,06__08__00__10__10__07__05
INC0000102,06__10__03__10__10__10__00__10__10__10__10__10__03__10__10__07__00__07__05
INC0000103,06__10__07__05
INC0000104,06__09__00__08__10__07__05
INC0000105,06__10__10__10__10__10__07__05
INC0000110,00__10__07__05
INC0000111,06__10__07__05
INC0000112,06__10__10__10__07__05
INC0000113,06__00__10__07__05
INC0000114,06__10__10__10__03__10__10__07__05
INC0000115,06__10__10__10__07__05
INC0000116,06__10__07__05
INC0000119,06__00__07__05
INC0000121,00__07__05
INC0000122,06__10__10__07__05
INC0000123,06__10__07__05
INC0000124,00__10__07__05
INC0000125,06__10__10__00__10__07__05
INC0000126,06__10__07__05
INC0000128,06__10__10__00__10__07__05
INC0000129,06__03__10__10__10__10__10__10__10__10__10__07__05
INC0000130,06__10__00__10__07__05
INC0000131,00__03__07__05
INC0000132,06__10__10__00__07__05
INC0000134,06__10__00__07__05
INC0000135,00__10__10__10__10__07__10__05
INC0000137,06__07__06__05
INC0000139,06__10__10__10__07__05
INC0000140,00__10__10__10__10__07__05
INC0000141,00__10__07__05
INC0000146,06__10__07__05
INC0000147,00__10__10__10__10__07__05
INC0000148,06__10__07__05
INC0000149,06__10__07__05
INC0000152,06__03__10__07__05
INC0000153,06__10__07__05
INC0000155,06__10__07__05
INC0000156,06__10__07__05
INC0000158,06__07__05
INC0000159,06__10__10__07__10__05
INC0000160,07__05
INC0000161,06__10__09__10__10__09__03__06__07__03__05
INC0000164,06__08__00__10__10__10__07__05
INC0000166,06__10__07__05
INC0000167,06__00__07__05
INC0000168,06__07__05
INC0000169,06__07__05
INC0000171,06__09__03__06__03__10__10__10__10__10__10__10__07__05
INC0000172,06__10__00__10__06__00__03__10__07__05
INC0000173,06__10__00__03__10__07__03__05
INC0000174,06__10__10__10__07__06__05
INC0000176,06__07__05
INC0000178,06__10__07__05
INC0000179,00__07__05
INC0000192,06__07__05
INC0000193,06__00__10__10__07__05
INC0000194,06__07__05
INC0000195,00__10__07__05
INC0000197,06__10__10__10__00__03__00__03__00__10__10__10__10__10__10__10__10__03__00__03__10__00__03__00__07__05
INC0000199,07__05
INC0000204,06__07__10__05
INC0000207,06__10__10__07__05
INC0000211,00__10__10__07__05
INC0000213,00__07__05
INC0000217,06__10__10__03__06__07__03__05
INC0000218,06__10__10__10__07__10__05
INC0000220,00__10__10__03__07__05
INC0000221,06__10__00__07__05
INC0000223,06__10__00__10__03__10__10__10__07__05
INC0000228,06__10__07__05
INC0000230,06__00__03__00__03__02__10__00__07__05
INC0000232,06__10__10__10__10__03__10__10__10__10__10__07__05
INC0000236,06__10__07__05
INC0000237,00__10__07__05
INC0000246,06__00__10__03__10__00__07__00__05
INC0000250,06__08__10__00__10__10__10__10__03__00__03__10__10__10__07__10__05
INC0000253,06__10__10__10__10__07__05
INC0000257,06__10__07__05
INC0000259,00__06__00__10__10__03__00__10__07__05
